Example,Original Abstract,Paraphrased Abstract,Original Title,Paraphrased Title,Word Overlap
1,This study proposes joint models for intent detection and slot filling in spoken...,We investigate how joint models can simultaneously detect intent and fill slots ...,this study proposes joint models for intent detection and slot filling in spoken language understanding.,joint models can simultaneously detect intent and fill slots in spoken language understanding systems.,0.318
2,We investigate knowledge distillation techniques that transfer capabilities from...,This work explores methods for transferring knowledge from large language models...,knowledge distillation techniques transfer capabilities from large language models to compact student models for efficient deployment.,"this work explores methods for transferring knowledge from large language models into smaller, more deployable student models.",0.28
3,This paper develops multi-objective optimization algorithms for neural architect...,This research develops algorithms that optimize multiple objectives during neura...,this paper develops multi-objective optimization algorithms for neural architecture search.,this research develops algorithms that optimize multiple objectives during neural architecture search.,0.375
4,"We apply neural radiance fields to novel view synthesis, generating photorealist...","We utilize neural radiance fields to synthesize novel views, creating photoreali...",neural radiance fields are applied to view synthesis. we generate photorealistic images of 3D scenes using implicit representations.,neural radiance fields synthesize novel views. we create photorealistic images of three-dimensional scenes through implicit representations.,0.417
5,This study investigates open-vocabulary object detection methods that identify a...,This study examines techniques for identifying arbitrary object categories in op...,open-vocabulary object detection methods identify arbitrary object categories described by natural language using vision-language models.,this study examines techniques for identifying arbitrary object categories in open-vocabulary settings using natural language descriptions.,0.304
6,"We develop deep learning models for predictive maintenance in manufacturing, for...",We build deep learning models that forecast equipment failures in manufacturing ...,deep learning models for predictive maintenance in manufacturing. forecasting equipment failures from sensor data to minimize downtime.,deep learning models forecast equipment failures in manufacturing from sensor data.,0.4
7,This work applies transformer models to query-focused multi-document summarizati...,This paper employs transformer architectures for query-focused summarization acr...,this work applies transformer models to query-focused multi-document summarization. summaries address specific information needs.,this paper employs transformer architectures for query-focused summarization across multiple documents. summaries tailored to specific information needs are tailored to specific information needs.,0.32
8,We propose efficient neural network architectures for real-time object detection...,We design efficient neural network structures capable of real-time object detect...,we propose efficient neural network architectures for real-time object detection on edge devices with limited computational resources and power budgets.,neural network structures can be used to detect objects on resource-constrained edge devices.,0.138
9,This study investigates self-supervised learning methods for visual representati...,This research explores self-supervised approaches for acquiring visual represent...,study investigates self-supervised learning methods for visual representation learning.,research explores self-supervised approaches for acquiring visual representations from unlabeled image data.,0.167
10,"We compare extractive and abstractive text summarization methods, proposing hybr...","This work compares extractive and abstractive summarization techniques, proposin...",we compare extractive and abstract text summarization methods. we propose hybrid approaches that combine sentence selection with neural generation.,this work compares extractive and abstract summarization techniques. proposes hybrid methods that merge sentence selection with neural generation.,0.44
