title,abstract,word_count
Privacy-Preserving Eye Tracking for Virtual Reality via On-Device Obfuscation,This paper studies privacy leakage from eye-tracking signals collected during virtual reality sessions and proposes a lightweight on-device obfuscation method.,20
Deep Reinforcement Learning for Autonomous Robot Navigation in Unknown Environments,We present a deep reinforcement learning approach that enables robots to navigate unknown environments using only raw sensor data without prior maps.,22
Efficient Transformer Architectures for Low-Resource Machine Translation,This work introduces a parameter-efficient transformer variant that achieves competitive translation quality with 40 percent fewer parameters on low-resource language pairs.,21
Detecting Fake News Using Graph Neural Networks and Source Credibility,We propose a graph neural network model that combines content analysis with source credibility signals to detect fake news articles across multiple domains.,23
Federated Learning for Healthcare: A Survey on Privacy Challenges and Solutions,"This survey examines privacy-preserving techniques in federated learning for healthcare applications, analyzing trade-offs between model accuracy and patient data protection.",20
Self-Supervised Learning for Medical Image Segmentation with Limited Annotations,We develop a self-supervised pretraining method for medical image segmentation that reduces annotation requirements by 60 percent while maintaining diagnostic accuracy.,21
Blockchain-Based Supply Chain Transparency for Pharmaceutical Products,"This paper proposes a blockchain framework for tracking pharmaceutical products through the supply chain, ensuring authenticity and preventing counterfeit drugs.",20
Adversarial Training Methods for Robust Natural Language Understanding,We investigate adversarial training techniques to improve the robustness of NLP models against synonym substitution and paraphrasing attacks.,18
Edge Computing Architectures for Real-Time IoT Data Analytics,"This study designs an edge computing architecture that processes IoT sensor data in real-time, reducing latency by 75 percent compared to cloud-only solutions.",23
Multi-Modal Fusion for Emotion Recognition in Video Conversations,"We present a multi-modal fusion approach combining facial expressions, speech patterns, and text transcripts for accurate emotion recognition in video conversations.",21
Neural Architecture Search for Efficient Convolutional Networks on Mobile Devices,This work develops a neural architecture search method that discovers efficient CNN models optimized for mobile device constraints without manual design.,21
Explainable AI for Credit Scoring: Interpreting Deep Learning Decisions,We propose an explainable AI framework for credit scoring that provides transparent explanations for deep learning model decisions while maintaining prediction accuracy.,22
Quantum Machine Learning Algorithms for Drug Discovery Applications,"This paper explores quantum machine learning algorithms applied to molecular property prediction, demonstrating potential speedups for virtual drug screening.",19
Zero-Shot Text Classification Using Large Language Models with Prompt Engineering,We evaluate zero-shot text classification performance of large language models under various prompt engineering strategies across diverse text domains.,19
Cybersecurity Threat Detection Using Unsupervised Anomaly Detection on Network Traffic,This study develops an unsupervised anomaly detection system for identifying cybersecurity threats in network traffic without labeled attack examples.,19
Smart Agriculture: IoT Sensor Networks for Precision Irrigation Systems,"We design an IoT sensor network for precision agriculture that optimizes irrigation schedules based on soil moisture, weather data, and crop water requirements.",23
Cross-Lingual Transfer Learning for Low-Resource Sentiment Analysis,This work investigates cross-lingual transfer methods that leverage high-resource language models to improve sentiment analysis in low-resource languages.,18
Meta-Learning for Few-Shot Image Classification in Medical Diagnostics,We propose a meta-learning approach that enables few-shot adaptation of image classifiers to rare medical conditions with minimal training examples.,20
Fairness and Bias Mitigation in Resume Screening Algorithms,This paper analyzes demographic biases in automated resume screening systems and proposes debiasing techniques that maintain predictive validity.,18
Optimizing Memory Usage in Large-Scale Graph Processing Systems,We present memory optimization techniques for distributed graph processing that reduce memory footprint by 50 percent while maintaining processing speed.,20
Speech Synthesis Using Diffusion Models for Natural-Sounding Voices,"This work adapts diffusion probabilistic models to neural speech synthesis, generating more natural and expressive synthetic voices than autoregressive baselines.",20
Human Pose Estimation from Single Images Using Part Affinity Fields,We describe a real-time method for multi-person pose estimation using part affinity fields to associate body parts of individuals in the image.,22
Automated Code Generation from Natural Language Descriptions Using Transformers,This study develops a transformer-based model that generates executable Python code from natural language problem descriptions with 85 percent accuracy.,20
Privacy-Preserving Facial Recognition Using Homomorphic Encryption,"We design a facial recognition system that performs matching on homomorphically encrypted biometric data, protecting user privacy throughout the authentication process.",21
Recommender Systems for Personalized Education: A Deep Learning Approach,This paper proposes a deep learning recommender system that personalizes educational content sequencing based on student knowledge states and learning objectives.,21
Detecting Depression from Social Media Text Using Attention Mechanisms,"We develop an attention-based neural model that identifies depression indicators in social media posts, achieving early detection with 78 percent recall.",21
Energy-Efficient Deep Learning Inference on Resource-Constrained Microcontrollers,"This work presents techniques for optimizing deep neural network inference on microcontrollers, achieving 10x energy reduction with minimal accuracy loss.",20
Multi-Agent Reinforcement Learning for Autonomous Vehicle Coordination,We propose a multi-agent reinforcement learning framework that enables autonomous vehicles to coordinate intersection navigation without centralized control.,18
Text Summarization with Controllable Length and Style Using Pointer-Generator Networks,This study extends pointer-generator networks with length and style control mechanisms for generating abstractive summaries with specified characteristics.,18
