Example,Method,Generated Title,Label,Reason
1,Greedy,this study proposes joint models for intent detection and slot filling in spoken language understanding.,Grounded,All major ideas supported by abstract
1,Temperature 0.7,this study proposes joint models for intent detection and slot filling.,Grounded,All major ideas supported by abstract
1,Temperature 1.0,based on a common sense. the study proposes joint models for intent detection and slot filling in spoken language understanding.,Partially Grounded,"Minor unsupported details: {'sense.', 'understanding.', 'common'}"
1,Temperature 1.3,posi gambles up will offer two models over the future. previous research found in intent detection.,Hallucinated,"Multiple unsupported concepts: {'gambles', 'offer', 'future.', 'research', 'previous', 'found', 'two', 'posi', 'detection.'}"
1,Top-k (k=10),study proposes joint models for intent detection. aims at improve speech understanding.,Hallucinated,"Multiple unsupported concepts: {'aims', 'improve', 'understanding.', 'detection.', 'speech'}"
2,Greedy,knowledge distillation techniques transfer capabilities from large language models to compact student models for efficient deployment.,Grounded,All major ideas supported by abstract
2,Temperature 0.7,knowledge distillation techniques transfer capabilities from large language models to compact student models.,Grounded,All major ideas supported by abstract
2,Temperature 1.0,knowledge distillation techniques transfer capabilities from large language models to compact student models.,Grounded,All major ideas supported by abstract
2,Temperature 1.3,We review the tool's knowledge-extraction in learn distillation. explore a method to transfer skills into standardized student models.,Hallucinated,"Multiple unsupported concepts: {'skills', 'models.', 'standardized', 'knowledge-extraction', 'learn', ""tool's"", 'distillation.', 'explore', 'review', 'method'}"
2,Top-k (k=10),knowledge distillation techniques transfer capabilities from large language models to compact student models.,Grounded,All major ideas supported by abstract
3,Greedy,this paper develops multi-objective optimization algorithms for neural architecture search.,Grounded,All major ideas supported by abstract
3,Temperature 0.7,this paper develops multi-objective optimization algorithms for neural architecture search that balance model accuracy latency and memory constraints.,Grounded,All major ideas supported by abstract
3,Temperature 1.0,"article develops multi-objective optimization algorithms. neural architecture search balances model accuracy, memory constraints.",Hallucinated,"Multiple unsupported concepts: {'article', 'algorithms.', 'accuracy,', 'balances'}"
3,Temperature 1.3,"algorithm from algebra, algebra, is used for tracking results as compared to analysis algorithm.",Hallucinated,"Multiple unsupported concepts: {'compared', 'algebra,', 'from', 'results', 'algorithm.', 'used', 'analysis', 'as', 'algorithm', 'tracking'}"
3,Top-k (k=10),this paper develops multi-objective optimization algorithms. neural architecture searches balance model accuracy latency and memory constraints.,Partially Grounded,"Minor unsupported details: {'searches', 'algorithms.'}"
4,Greedy,neural radiance fields are applied to view synthesis. we generate photorealistic images of 3D scenes using implicit representations.,Partially Grounded,"Minor unsupported details: {'generate', 'applied', 'synthesis.'}"
4,Temperature 0.7,neural radiance fields are used to create photorealistic images of 3D scenes.,Partially Grounded,"Minor unsupported details: {'used', 'create', 'scenes.'}"
4,Temperature 1.0,neural radiance fields are applied to view synthesis. resulting imagerealistic images are generated a couple of times in 3D images from arbitrary viewpoints.,Hallucinated,"Multiple unsupported concepts: {'imagerealistic', 'resulting', 'times', 'applied', 'generated', 'synthesis.', 'viewpoints.', 'couple'}"
4,Temperature 1.3,"using neural radiance fields, the results are realistic and noninvasive when combined with dynamic projection in digital imagery.",Hallucinated,"Multiple unsupported concepts: {'combined', 'noninvasive', 'dynamic', 'results', 'fields,', 'imagery.', 'projection', 'digital', 'realistic'}"
